price_usd,lat,lon,area_m2,country,city,property_type
471200.0,,,48.33,Taiwan,內湖區,
43400.0,,,4.859999999999999,Taiwan,大安區,
9300.0,,,,Taiwan,信義區,
347122.5,,,,Taiwan,士林區,
25187.5,,,,Taiwan,大安區,
266600.0,,,50.22,Taiwan,中山區,
74400.0,,,20.75,Taiwan,大安區,
52177.65,,,,Taiwan,內湖區,
20770.0,,,13.18,Taiwan,中山區,
80600.0,,,38.92,Taiwan,大同區,
16507.5,,,,Taiwan,松山區,
71300.0,,,25.94,Taiwan,萬華區,
41540.0,,,26.37,Taiwan,中山區,
60450.0,,,26.5,Taiwan,信義區,
396800.0,,,81.81,Taiwan,中正區,
192200.0,,,,Taiwan,文山區,
1444600.0,,,236.61,Taiwan,萬華區,
1240000.0,,,352.5,Taiwan,內湖區,
204726.48,,,,Taiwan,北投區,
665756.0,,,99.09,Taiwan,中正區,
103431.5,,,,Taiwan,大同區,
179800.0,,,61.39,Taiwan,大同區,
83700.0,,,41.42,Taiwan,中正區,
184760.0,,,39.75,Taiwan,中山區,
744000.0,,,73.87,Taiwan,信義區,
1678960.0,,,222.21,Taiwan,南港區,
279000.0,,,49.77,Taiwan,北投區,
64170.0,,,,Taiwan,內湖區,
465000.0,,,79.24,Taiwan,中山區,
56443.25,,,,Taiwan,士林區,
71300.0,,,,Taiwan,中山區,
186000.0,,,25.78,Taiwan,大安區,
589000.0,,,106.08,Taiwan,內湖區,
82150.0,,,32.68000000000001,Taiwan,信義區,
220100.0,,,26.91,Taiwan,士林區,
292603.823,,,,Taiwan,士林區,
47453.56,,,,Taiwan,大安區,
20150.0,,,18.18,Taiwan,文山區,
647280.0,,,83.22,Taiwan,內湖區,
620000.0,,,96.52,Taiwan,松山區,
573500.0,,,,Taiwan,士林區,
165651.6,,,113.4,Taiwan,北投區,
170885.237,,,,Taiwan,北投區,
154685.877,,,,Taiwan,北投區,
77500.0,,,34.53,Taiwan,內湖區,
1816600.0,,,211.53,Taiwan,松山區,
89280.0,,,40.97,Taiwan,中正區,
21545.0,,,,Taiwan,文山區,
350300.0,,,46.59,Taiwan,內湖區,
99200.0,,,52.47,Taiwan,士林區,
12400.0,,,,Taiwan,文山區,
235600.0,,,32.58,Taiwan,中正區,
34100.0,,,24.98,Taiwan,內湖區,
83700.0,,,36.63,Taiwan,內湖區,
10257831.8,,,,Taiwan,南港區,
523280.0,,,50.44,Taiwan,南港區,
205375.0,,,,Taiwan,士林區,
502200.0,,,84.64,Taiwan,北投區,
143685.0,,,,Taiwan,大同區,
1729800.0,,,236.52,Taiwan,中山區,
9052.0,,,,Taiwan,北投區,
3298.4,,,,Taiwan,北投區,
124000.0,,,43.94,Taiwan,北投區,
3437.28,,,,Taiwan,文山區,
232500.0,,,32.879999999999995,Taiwan,大同區,
49600.0,,,36.64,Taiwan,中山區,
666500.0,,,122.64,Taiwan,內湖區,
150350.0,,,73.53999999999999,Taiwan,內湖區,
4334.823,,,,Taiwan,內湖區,
4334.823,,,,Taiwan,內湖區,
8135.981,,,,Taiwan,內湖區,
13950.0,,,,Taiwan,內湖區,
93000.0,,,40.03,Taiwan,信義區,
1271000.0,,,158.10000000000002,Taiwan,南港區,
1036240.1,,,,Taiwan,北投區,
285200.0,,,88.86,Taiwan,北投區,
1044080.0,,,109.58,Taiwan,大安區,
465000.0,,,58.74,Taiwan,大同區,
719200.0,,,145.25,Taiwan,中山區,
502200.0,,,34.05,Taiwan,松山區,
418500.0,,,106.3,Taiwan,北投區,
54250.0,,,18.28,Taiwan,中正區,
542500.0,,,109.96,Taiwan,萬華區,
58900.0,,,40.0,Taiwan,內湖區,
25048.0,,,,Taiwan,內湖區,
331700.0,,,38.25,Taiwan,中山區,
49600.0,,,8.6,Taiwan,中山區,
114700.0,,,47.96,Taiwan,松山區,
1302000.0,,,162.03,Taiwan,南港區,
71300.0,,,35.22,Taiwan,松山區,
393855.0,,,62.04,Taiwan,士林區,
1891000.0,,,216.63,Taiwan,北投區,
9300.0,,,,Taiwan,萬華區,
86800.0,,,16.59,Taiwan,中山區,
58590.0,,,28.29,Taiwan,中正區,
74400.0,,,,Taiwan,北投區,
957280.0,,,149.89,Taiwan,萬華區,
664144.0,,,,Taiwan,中山區,
737614.0,,,,Taiwan,中山區,
62000.0,,,14.77,Taiwan,中正區,
385919.0,,,,Taiwan,南港區,
21700.0,,,,Taiwan,大安區,
8946.135,,,,Taiwan,南港區,
620000.0,,,79.7,Taiwan,松山區,
157504.8,,,,Taiwan,萬華區,
372000.0,,,52.94,Taiwan,中山區,
102300.0,,,33.22,Taiwan,中山區,
62000.0,,,30.79,Taiwan,中山區,
15091.172,,,,Taiwan,松山區,
2077000.0,,,,Taiwan,士林區,
91450.0,,,36.830000000000005,Taiwan,士林區,
227230.0,,,58.48,Taiwan,士林區,
20720.4,,,,Taiwan,大安區,
402835.328,,,,Taiwan,大安區,
32550.0,,,17.69,Taiwan,大安區,
8602.5,,,,Taiwan,文山區,
8602.5,,,,Taiwan,文山區,
8602.5,,,,Taiwan,文山區,
8602.5,,,,Taiwan,文山區,
4309.0,,,,Taiwan,文山區,
4309.0,,,,Taiwan,文山區,
605754.911,,,,Taiwan,內湖區,
121150.976,,,,Taiwan,內湖區,
121150.976,,,,Taiwan,內湖區,
19218.574,,,,Taiwan,內湖區,
1591305.888,,,,Taiwan,內湖區,
121150.976,,,,Taiwan,內湖區,
21222.6,,,,Taiwan,士林區,
4132.548,,,,Taiwan,士林區,
6517.44,,,,Taiwan,士林區,
402835.328,,,,Taiwan,大安區,
402835.328,,,,Taiwan,大安區,
278380.0,,,46.65,Taiwan,大同區,
46434.9,,,,Taiwan,中正區,
217000.0,,,,Taiwan,大同區,
20613.45,,,,Taiwan,松山區,
7333.36,,,,Taiwan,信義區,
62062.0,,,,Taiwan,北投區,
232500.0,,,55.94,Taiwan,北投區,
31000.0,,,,Taiwan,士林區,
14951.3,,,,Taiwan,大安區,
77500.0,,,,Taiwan,大同區,
