lat,lon,price_local,currency,area_m2,property_type,transaction_date,yr,city,country,country_iso,source,n_rooms,terrain_m2,postcode,structure,use,build_year,floor_plan,district,address,bis_hpi,esa_tile,dem_tile
48.884255,2.298612,140000.0,EUR,18.0,Appartement,2023-01-04,2023,Paris 17e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.880564,2.345859,400000.0,EUR,43.0,Appartement,2023-01-05,2023,Paris 9e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.891525,2.334615,141343.12,EUR,,Dépendance,2023-01-04,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.893075,2.318419,295000.0,EUR,28.0,Appartement,2023-01-03,2023,Paris 17e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.891187,2.349162,300400.0,EUR,,Dépendance,2023-01-03,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.891187,2.349162,300400.0,EUR,36.0,Appartement,2023-01-03,2023,Paris 18e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.88403,2.389761,17300.0,EUR,,Dépendance,2023-01-02,2023,Paris 19e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.87964,2.364393,1700.0,EUR,,Dépendance,2023-01-03,2023,Paris 10e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.87964,2.364393,1700.0,EUR,,Dépendance,2023-01-03,2023,Paris 10e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.87964,2.364393,1700.0,EUR,,Dépendance,2023-01-03,2023,Paris 10e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.894577,2.362369,213000.0,EUR,27.0,Appartement,2023-01-04,2023,Paris 18e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.894577,2.362369,213000.0,EUR,,Dépendance,2023-01-04,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.894577,2.362369,213000.0,EUR,,Dépendance,2023-01-04,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.87457,2.396493,600000.0,EUR,,Dépendance,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.87457,2.396493,600000.0,EUR,,Dépendance,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.87457,2.396493,600000.0,EUR,85.0,Appartement,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,4,,,,,,,,,128.7898,,
48.888709,2.322435,360000.0,EUR,36.0,Appartement,2023-01-06,2023,Paris 17e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.89248,2.339433,351400.0,EUR,,Dépendance,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.89248,2.339433,351400.0,EUR,30.0,Appartement,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.893014,2.350789,158000.0,EUR,18.0,Appartement,2023-01-04,2023,Paris 18e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.893404,2.32794,396800.0,EUR,33.0,Appartement,2023-01-04,2023,Paris 18e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.893404,2.32794,396800.0,EUR,,Dépendance,2023-01-04,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.871829,2.303785,311900.0,EUR,30.0,Appartement,2023-01-06,2023,Paris 8e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.871829,2.303785,311900.0,EUR,,Dépendance,2023-01-06,2023,Paris 8e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,ESA_WorldCover_10m_2021_v200_N48E000,Copernicus_DSM_COG_10_N48_00_E002_00_DEM
48.868193,2.399472,14000.0,EUR,,Dépendance,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.863589,2.402664,260000.0,EUR,29.0,Appartement,2023-01-04,2023,Paris 20e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.876173,2.295496,284710.0,EUR,20.0,Appartement,2023-01-04,2023,Paris 17e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.862232,2.402175,338000.0,EUR,,Dépendance,2023-01-09,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.862232,2.402175,338000.0,EUR,34.0,Appartement,2023-01-09,2023,Paris 20e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.87336,2.390441,600000.0,EUR,60.0,Appartement,2023-01-05,2023,Paris 20e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.87336,2.390441,600000.0,EUR,,Dépendance,2023-01-05,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,ESA_WorldCover_10m_2021_v200_N48E000,Copernicus_DSM_COG_10_N48_00_E002_00_DEM
48.894398,2.331722,730000.0,EUR,,Dépendance,2023-01-03,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.894398,2.331722,730000.0,EUR,79.0,Appartement,2023-01-03,2023,Paris 18e Arrondissement,France,FR,france_dvf,4,,,,,,,,,128.7898,,
48.894398,2.331722,730000.0,EUR,,Dépendance,2023-01-03,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.876937,2.316495,285000.0,EUR,19.0,Appartement,2023-01-09,2023,Paris 8e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.869554,2.367918,916000.0,EUR,77.0,Appartement,2023-01-06,2023,Paris 10e Arrondissement,France,FR,france_dvf,3,,,,,,,,,128.7898,,
48.865921,2.395193,240000.0,EUR,16.0,Appartement,2023-01-09,2023,Paris 20e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.881303,2.345207,30000.0,EUR,,Dépendance,2023-01-04,2023,Paris 9e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.892352,2.318768,378000.0,EUR,35.0,Appartement,2023-01-04,2023,Paris 17e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.885412,2.316759,250000.0,EUR,23.0,Appartement,2023-01-04,2023,Paris 17e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,ESA_WorldCover_10m_2021_v200_N48E000,Copernicus_DSM_COG_10_N48_00_E002_00_DEM
48.883759,2.342325,396000.0,EUR,26.0,Appartement,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.883759,2.342325,396000.0,EUR,,Dépendance,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.893177,2.323507,175000.0,EUR,,Dépendance,2023-01-04,2023,Paris 17e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.893177,2.323507,175000.0,EUR,21.0,Appartement,2023-01-04,2023,Paris 17e Arrondissement,France,FR,france_dvf,1,,,,,,,,,128.7898,,
48.885663,2.324547,1121500.0,EUR,110.0,Appartement,2023-01-04,2023,Paris 17e Arrondissement,France,FR,france_dvf,5,,,,,,,,,128.7898,,
48.885663,2.324547,1121500.0,EUR,,Dépendance,2023-01-04,2023,Paris 17e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.885909,2.324896,34000.0,EUR,,Dépendance,2023-01-03,2023,Paris 17e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.883046,2.340104,1163879.0,EUR,81.0,Appartement,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,4,,,,,,,,,128.7898,,
48.883046,2.340104,1163879.0,EUR,,Dépendance,2023-01-06,2023,Paris 18e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.868666,2.38625,302000.0,EUR,30.0,Appartement,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
48.868666,2.38625,302000.0,EUR,,Dépendance,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.869483,2.395486,571000.0,EUR,,Dépendance,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,0,,,,,,,,,128.7898,,
48.869483,2.395486,571000.0,EUR,54.0,Appartement,2023-01-06,2023,Paris 20e Arrondissement,France,FR,france_dvf,2,,,,,,,,,128.7898,,
