lat,lon,price,currency,area_m2,yr,city,country,iso,source,property_type
48.884255,2.298612,140000.0,EUR,18.0,2023,Paris 17e Arrondissement,France,FR,france_dvf,
48.880564,2.345859,400000.0,EUR,43.0,2023,Paris 9e Arrondissement,France,FR,france_dvf,
48.893075,2.318419,295000.0,EUR,28.0,2023,Paris 17e Arrondissement,France,FR,france_dvf,
48.891187,2.349162,300400.0,EUR,36.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.894577,2.362369,213000.0,EUR,27.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.87457,2.396493,600000.0,EUR,85.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.888709,2.322435,360000.0,EUR,36.0,2023,Paris 17e Arrondissement,France,FR,france_dvf,
48.89248,2.339433,351400.0,EUR,30.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.893014,2.350789,158000.0,EUR,18.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.893404,2.32794,396800.0,EUR,33.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.871829,2.303785,311900.0,EUR,30.0,2023,Paris 8e Arrondissement,France,FR,france_dvf,
48.863589,2.402664,260000.0,EUR,29.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.876173,2.295496,284710.0,EUR,20.0,2023,Paris 17e Arrondissement,France,FR,france_dvf,
48.862232,2.402175,338000.0,EUR,34.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.87336,2.390441,600000.0,EUR,60.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.894398,2.331722,730000.0,EUR,79.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.876937,2.316495,285000.0,EUR,19.0,2023,Paris 8e Arrondissement,France,FR,france_dvf,
48.869554,2.367918,916000.0,EUR,77.0,2023,Paris 10e Arrondissement,France,FR,france_dvf,
48.865921,2.395193,240000.0,EUR,16.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.892352,2.318768,378000.0,EUR,35.0,2023,Paris 17e Arrondissement,France,FR,france_dvf,
48.885412,2.316759,250000.0,EUR,23.0,2023,Paris 17e Arrondissement,France,FR,france_dvf,
48.883759,2.342325,396000.0,EUR,26.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.893177,2.323507,175000.0,EUR,21.0,2023,Paris 17e Arrondissement,France,FR,france_dvf,
48.885663,2.324547,1121500.0,EUR,110.0,2023,Paris 17e Arrondissement,France,FR,france_dvf,
48.883046,2.340104,1163879.0,EUR,81.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.868666,2.38625,302000.0,EUR,30.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.869483,2.395486,571000.0,EUR,54.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.851529,2.400478,472350.0,EUR,52.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.874271,2.352627,120000.0,EUR,85.0,2023,Paris 10e Arrondissement,France,FR,france_dvf,
48.876296,2.392639,495000.0,EUR,63.0,2023,Paris 19e Arrondissement,France,FR,france_dvf,
48.882605,2.34138,405000.0,EUR,31.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.876572,2.387123,186000.0,EUR,18.0,2023,Paris 19e Arrondissement,France,FR,france_dvf,
48.88443,2.377781,209100.0,EUR,25.0,2023,Paris 19e Arrondissement,France,FR,france_dvf,
48.893079,2.323396,253000.0,EUR,31.0,2023,Paris 17e Arrondissement,France,FR,france_dvf,
48.854807,2.401679,374150.0,EUR,34.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.89248,2.339433,264745.0,EUR,40.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.873133,2.357403,100000.0,EUR,9.0,2023,Paris 10e Arrondissement,France,FR,france_dvf,
48.862101,2.355277,268000.0,EUR,23.0,2023,Paris 3e Arrondissement,France,FR,france_dvf,
48.882946,2.32177,316770.0,EUR,35.0,2023,Paris 17e Arrondissement,France,FR,france_dvf,
48.888112,2.355989,94000.0,EUR,15.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.871766,2.378925,199000.0,EUR,18.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.873893,2.359603,1162000.0,EUR,106.0,2023,Paris 10e Arrondissement,France,FR,france_dvf,
48.869582,2.407757,395000.0,EUR,43.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.890943,2.38301,260000.0,EUR,31.0,2023,Paris 19e Arrondissement,France,FR,france_dvf,
48.873186,2.402724,500000.0,EUR,74.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.885134,2.38355,272000.0,EUR,24.0,2023,Paris 19e Arrondissement,France,FR,france_dvf,
48.882654,2.333069,380000.0,EUR,30.0,2023,Paris 9e Arrondissement,France,FR,france_dvf,
48.891062,2.333778,1089450.0,EUR,92.0,2023,Paris 18e Arrondissement,France,FR,france_dvf,
48.880336,2.329696,877400.0,EUR,69.0,2023,Paris 9e Arrondissement,France,FR,france_dvf,
48.873862,2.342982,693000.0,EUR,64.0,2023,Paris 9e Arrondissement,France,FR,france_dvf,
48.871505,2.363876,469000.0,EUR,48.0,2023,Paris 10e Arrondissement,France,FR,france_dvf,
48.865342,2.349927,890500.0,EUR,63.0,2023,Paris 2e Arrondissement,France,FR,france_dvf,
48.865463,2.340729,810000.0,EUR,30.0,2023,Paris 1er Arrondissement,France,FR,france_dvf,
48.872297,2.402683,221510.0,EUR,25.0,2023,Paris 20e Arrondissement,France,FR,france_dvf,
48.883318,2.389397,518000.0,EUR,76.0,2023,Paris 19e Arrondissement,France,FR,france_dvf,
48.874015,2.360792,431500.0,EUR,39.0,2023,Paris 10e Arrondissement,France,FR,france_dvf,
