country,iso,price,detail,currency,lat,lon,area_m2,source,yr,property_type
Taiwan,TW,0,bulk download available,,,,,,,
Denmark,DK,8800000,,DKK,55.70917,12.499083,100.0,dk_boliga,2026.0,1.0
Denmark,DK,4200000,,DKK,55.67052,12.591296,54.0,dk_boliga,2026.0,3.0
Denmark,DK,3300000,,DKK,55.64478,12.615306,58.0,dk_boliga,2026.0,3.0
Denmark,DK,3150000,,DKK,55.660946,12.622063,56.0,dk_boliga,2026.0,3.0
Denmark,DK,8450000,,DKK,55.69914,12.586071,85.0,dk_boliga,2026.0,3.0
Denmark,DK,4206000,,DKK,55.66265,12.614431,58.0,dk_boliga,2026.0,3.0
Denmark,DK,2131800,,DKK,55.714348,12.571365,61.0,dk_boliga,2026.0,3.0
Denmark,DK,2100000,,DKK,55.704964,12.53204,54.0,dk_boliga,2026.0,3.0
Denmark,DK,2945000,,DKK,55.659363,12.609185,45.0,dk_boliga,2026.0,3.0
Denmark,DK,8200000,,DKK,55.702065,12.482446,107.0,dk_boliga,2026.0,1.0
Denmark,DK,17850000,,DKK,55.65628,12.565355,164.0,dk_boliga,2026.0,3.0
Denmark,DK,4800000,,DKK,55.707703,12.583721,66.0,dk_boliga,2026.0,3.0
Denmark,DK,2683200,,DKK,55.7089,12.583394,56.0,dk_boliga,2026.0,3.0
Denmark,DK,2000000,,DKK,55.718895,12.554629,66.0,dk_boliga,2026.0,3.0
Denmark,DK,1247500,,DKK,55.646297,12.640235,50.0,dk_boliga,2026.0,4.0
Denmark,DK,6495000,,DKK,55.660477,12.628013,94.0,dk_boliga,2026.0,3.0
Denmark,DK,3350000,,DKK,55.653194,12.619299,53.0,dk_boliga,2026.0,3.0
Denmark,DK,3745000,,DKK,55.70933,12.562397,64.0,dk_boliga,2026.0,3.0
Denmark,DK,27125000,,DKK,55.681942,12.585912,129.0,dk_boliga,2026.0,3.0
Denmark,DK,6912500,,DKK,55.666386,12.553116,75.0,dk_boliga,2026.0,3.0
Denmark,DK,27125000,,DKK,55.681942,12.585912,110.0,dk_boliga,2026.0,3.0
Denmark,DK,27125000,,DKK,55.681942,12.585912,110.0,dk_boliga,2026.0,3.0
Denmark,DK,7995000,,DKK,55.666927,12.581763,106.0,dk_boliga,2026.0,3.0
Denmark,DK,1600000,,DKK,55.658707,12.611066,47.0,dk_boliga,2026.0,3.0
Denmark,DK,3500000,,DKK,55.69065,12.572693,62.0,dk_boliga,2026.0,3.0
Denmark,DK,10250000,,DKK,55.660343,12.489697,159.0,dk_boliga,2026.0,1.0
Denmark,DK,4750000,,DKK,55.659214,12.5621,63.0,dk_boliga,2026.0,3.0
Denmark,DK,27125000,,DKK,55.681942,12.585912,110.0,dk_boliga,2026.0,3.0
Denmark,DK,2035000,,DKK,55.70537,12.584637,46.0,dk_boliga,2026.0,3.0
Denmark,DK,1700000,,DKK,55.64847,12.530362,54.0,dk_boliga,2026.0,3.0
Denmark,DK,9800000,,DKK,55.658794,12.56263,135.0,dk_boliga,2026.0,3.0
Denmark,DK,4552000,,DKK,55.695415,12.548416,55.0,dk_boliga,2026.0,3.0
Denmark,DK,2300000,,DKK,55.649395,12.528732,78.0,dk_boliga,2026.0,3.0
Denmark,DK,2764000,,DKK,55.680195,12.591934,61.0,dk_boliga,2026.0,3.0
Denmark,DK,2195000,,DKK,55.705532,12.493193,80.0,dk_boliga,2026.0,3.0
Denmark,DK,7650000,,DKK,55.69669,12.465341,85.0,dk_boliga,2026.0,1.0
Denmark,DK,5550000,,DKK,55.665627,12.610091,85.0,dk_boliga,2026.0,3.0
Denmark,DK,7950000,,DKK,55.65628,12.565355,93.0,dk_boliga,2026.0,3.0
Denmark,DK,10555555,,DKK,55.691658,12.568297,149.0,dk_boliga,2026.0,3.0
Denmark,DK,3402400,,DKK,55.708675,12.595205,86.0,dk_boliga,2026.0,3.0
Denmark,DK,7995000,,DKK,55.70671,12.530736,97.0,dk_boliga,2026.0,3.0
Denmark,DK,6125000,,DKK,55.6851,12.484635,111.0,dk_boliga,2026.0,3.0
Denmark,DK,897000,,DKK,55.680542,12.589185,65.0,dk_boliga,2026.0,3.0
Denmark,DK,2685000,,DKK,55.66178,12.607123,55.0,dk_boliga,2026.0,3.0
Denmark,DK,3915000,,DKK,55.6781,12.576875,48.0,dk_boliga,2026.0,3.0
Denmark,DK,3295000,,DKK,55.66034,12.609329,46.0,dk_boliga,2026.0,3.0
Denmark,DK,10800000,,DKK,55.65628,12.565355,120.0,dk_boliga,2026.0,3.0
Denmark,DK,2000000,,DKK,55.682182,12.489735,56.0,dk_boliga,2026.0,3.0
Denmark,DK,2928000,,DKK,55.69134,12.556044,48.0,dk_boliga,2026.0,3.0
Denmark,DK,6850000,,DKK,55.70793,12.462179,126.0,dk_boliga,2026.0,1.0
